variant;run;score;time_ms;iterations;states
standard;603;23131;50.887;29.0;30
standard;604;23118;45.833;33.0;34
standard;605;23182;32.987;31.0;32
standard;606;23020;45.849;34.0;35
standard;607;23085;64.620;33.0;34
standard;608;23209;73.102;36.0;37
standard;609;22856;38.137;30.0;31
standard;610;23265;67.211;35.0;36
standard;611;23114;38.928;31.0;32
standard;612;23003;56.759;31.0;32
standard;613;23010;48.180;32.0;33
standard;614;22943;53.828;31.0;32
standard;615;23065;35.974;31.0;32
standard;616;23095;66.920;33.0;34
standard;617;23003;63.131;32.0;33
standard;618;23113;41.713;33.0;34
standard;619;23105;58.528;30.0;31
standard;620;23009;41.548;32.0;33
standard;621;23034;50.455;32.0;33
standard;622;22797;42.377;28.0;29
standard;623;22893;45.417;30.0;31
standard;624;23006;41.487;32.0;33
standard;625;23206;33.969;32.0;33
standard;626;23048;47.721;32.0;33
standard;627;23239;39.879;34.0;35
standard;628;23129;71.596;35.0;36
standard;629;23070;48.030;33.0;34
standard;630;23246;61.116;34.0;35
standard;631;23142;61.284;33.0;34
standard;632;22907;44.639;31.0;32
standard;633;23078;50.351;34.0;35
standard;634;23283;62.800;34.0;35
standard;635;23153;51.867;32.0;33
standard;636;23162;45.895;32.0;33
standard;637;23091;61.441;34.0;35
standard;638;23010;60.176;31.0;32
standard;639;22916;60.134;30.0;31
standard;640;23012;44.832;33.0;34
standard;641;23193;34.922;29.0;30
standard;642;22878;56.080;31.0;32
standard;643;23192;46.941;34.0;35
standard;644;23179;43.752;33.0;34
standard;645;23046;82.472;34.0;35
standard;646;23284;48.253;34.0;35
standard;647;23095;43.043;32.0;33
standard;648;23122;38.091;31.0;32
standard;649;23160;60.788;33.0;34
standard;650;23178;60.174;32.0;33
standard;651;22983;58.777;30.0;31
standard;652;23217;84.304;34.0;35
standard;653;23099;46.614;32.0;33
standard;654;23075;49.084;33.0;34
standard;655;23217;47.122;33.0;34
standard;656;23069;43.760;34.0;35
standard;657;23075;64.933;33.0;34
standard;658;22965;26.560;28.0;29
standard;659;23058;60.743;32.0;33
standard;660;23168;72.070;37.0;38
standard;661;23104;62.592;32.0;33
standard;662;23100;66.118;34.0;35
standard;663;23090;40.641;33.0;34
standard;664;23232;74.530;30.0;31
standard;665;23024;44.398;32.0;33
standard;666;23156;42.513;31.0;32
standard;667;23122;56.286;34.0;35
standard;668;23208;33.373;33.0;34
standard;669;22962;59.553;27.0;28
